frame,joint,x,y,bbox
434,reyecoco,267.3,254.92,"(131.7,254.9)-(318.7,444.9)"
441,lwri_smpl,141.35,255.24,"(147.4,241.9)-(283.6,445.9)"
441,lhan_smpl,130.08,253.69,"(147.4,241.9)-(283.6,445.9)"
442,lwri_smpl,129.27,257.9,"(143.2,242.5)-(294.5,445.9)"
442,lhan_smpl,118.27,256.94,"(143.2,242.5)-(294.5,445.9)"
442,reyecoco,240.55,242.09,"(143.2,242.5)-(294.5,445.9)"
443,lhan_smpl,114.65,254.35,"(121.6,245.1)-(305.8,445.1)"
443,reyecoco,224.76,240.21,"(121.6,245.1)-(305.8,445.1)"
444,lhan_smpl,118.6,253.77,"(124.7,250.1)-(308.4,443.1)"
444,reyecoco,207.21,239.09,"(124.7,250.1)-(308.4,443.1)"
445,reyecoco,190.51,237.93,"(140.3,240.7)-(309.2,443.2)"
451,lhan_smpl,281.81,228.95,"(131.0,229.8)-(289.7,443.9)"
454,lhan_smpl,275.13,230.06,"(123.2,226.8)-(273.3,440.8)"
455,lwri_smpl,247.63,224.13,"(125.6,224.7)-(259.0,440.2)"
455,lhan_smpl,248.13,222.87,"(125.6,224.7)-(259.0,440.2)"
456,lwri_smpl,234.62,226.67,"(133.5,230.5)-(263.4,442.5)"
456,lhan_smpl,232.83,224.16,"(133.5,230.5)-(263.4,442.5)"
457,lhan_smpl,219.65,226.39,"(131.0,228.8)-(265.7,441.1)"
463,lwri_smpl,177.17,237.86,"(171.8,239.9)-(291.5,437.8)"
463,lhan_smpl,172.86,235.42,"(171.8,239.9)-(291.5,437.8)"
464,lelb_smpl,196.63,237.87,"(171.2,241.5)-(289.4,437.3)"
464,lwri_smpl,177.58,223.93,"(171.2,241.5)-(289.4,437.3)"
464,lhan_smpl,173.47,221.55,"(171.2,241.5)-(289.4,437.3)"
467,head_smpl,173.03,270.34,"(173.1,231.3)-(301.9,447.8)"
467,htop_mpi_inf_3dhp,167.82,272.06,"(173.1,231.3)-(301.9,447.8)"
467,learcoco,166.89,268.01,"(173.1,231.3)-(301.9,447.8)"
467,leyecoco,169.41,261.7,"(173.1,231.3)-(301.9,447.8)"
467,nosecoco,165.85,269.77,"(173.1,231.3)-(301.9,447.8)"
467,rearcoco,166.71,266.1,"(173.1,231.3)-(301.9,447.8)"
467,reyecoco,157.91,251.35,"(173.1,231.3)-(301.9,447.8)"
484,lhan_smpl,174.39,240.26,"(173.5,242.1)-(294.7,446.6)"
507,reyecoco,211.27,213.08,"(176.5,218.4)-(313.6,441.0)"
526,rhan_smpl,219.97,194.87,"(182.7,196.8)-(270.9,449.0)"
535,lhan_smpl,254.0,184.18,"(183.2,185.8)-(309.4,446.9)"
589,rhan_smpl,227.37,193.28,"(134.8,194.9)-(277.5,441.4)"
598,rhan_smpl,152.93,267.93,"(155.4,140.1)-(308.9,438.8)"
602,rtoe_smpl,224.18,426.7,"(176.9,169.9)-(332.7,423.9)"
602,lhan_smpl,271.26,168.47,"(176.9,169.9)-(332.7,423.9)"
610,lank_smpl,173.17,248.55,"(181.9,174.1)-(264.8,439.5)"
610,ltoe_smpl,160.6,237.72,"(181.9,174.1)-(264.8,439.5)"
610,rwri_smpl,175.1,229.74,"(181.9,174.1)-(264.8,439.5)"
610,lhan_smpl,176.14,261.81,"(181.9,174.1)-(264.8,439.5)"
610,rhan_smpl,166.76,229.05,"(181.9,174.1)-(264.8,439.5)"
614,reyecoco,228.2,181.11,"(123.2,182.0)-(266.8,431.6)"
616,reyecoco,216.46,182.88,"(165.8,183.6)-(268.4,432.5)"
637,ltoe_smpl,268.18,151.83,"(172.6,151.9)-(278.0,431.1)"
637,rhan_smpl,253.82,148.46,"(172.6,151.9)-(278.0,431.1)"
638,rhan_smpl,262.1,142.35,"(172.3,145.1)-(282.0,431.3)"
651,rhan_smpl,247.78,132.05,"(171.1,135.0)-(270.8,429.5)"
657,rhan_smpl,191.63,137.59,"(165.8,137.9)-(261.9,424.6)"
665,rhan_smpl,242.93,125.19,"(163.1,126.4)-(263.3,428.6)"
672,rhan_smpl,168.13,128.85,"(140.4,129.9)-(252.0,419.7)"
677,lelb_smpl,238.54,223.62,"(145.8,121.9)-(238.1,424.9)"
679,rwri_smpl,203.37,132.84,"(139.4,133.2)-(238.6,422.4)"
679,rhan_smpl,211.15,126.12,"(139.4,133.2)-(238.6,422.4)"
